Wall time,Step,Value
1687729782.8780854,351,0.8853591680526733
1687729802.988398,703,0.8305517435073853
1687729823.221321,1055,0.6559143662452698
1687729843.549689,1407,0.6005622148513794
1687729863.4034412,1759,0.5726011991500854
1687729882.9987533,2111,0.583700954914093
1687729903.318808,2463,0.6230078935623169
1687729923.756224,2815,0.5420047640800476
1687729944.2055216,3167,0.5400694012641907
1687729964.2855222,3519,0.5618417263031006
1687729984.367758,3871,0.5153322219848633
1687730004.4130836,4223,0.5248476266860962
1687730024.4277558,4575,0.502507746219635
1687730044.7451787,4927,0.499789834022522
1687730065.446313,5279,0.5028150081634521
1687730085.8699765,5631,0.5212629437446594
1687730105.731475,5983,0.5029429197311401
1687730125.7944424,6335,0.5143347978591919
1687730146.1411147,6687,0.5121933817863464
1687730166.457209,7039,0.5232954025268555
