Wall time,Step,Value
1687731501.6175823,351,0.40790000557899475
1687731558.7176511,703,0.54339998960495
1687731616.2816827,1055,0.625
1687731672.3375134,1407,0.6771000027656555
1687731727.4186277,1759,0.7261000275611877
1687731783.1093462,2111,0.7644000053405762
1687731838.3932893,2463,0.7371000051498413
1687731893.605053,2815,0.5990999937057495
1687731948.4493687,3167,0.7419999837875366
1687732003.3036485,3519,0.7702999711036682
1687732059.2268722,3871,0.7870000004768372
1687732114.013013,4223,0.7998999953269958
1687732168.845632,4575,0.8026000261306763
1687732224.3277822,4927,0.8098000288009644
1687732279.0201116,5279,0.8216999769210815
1687732334.1083484,5631,0.8220999836921692
1687732388.6320176,5983,0.8198999762535095
1687732442.9053962,6335,0.8198999762535095
1687732498.0897024,6687,0.8264999985694885
1687732557.0611868,7039,0.8234000205993652
