Wall time,Step,Value
1687730210.899008,351,0.7179999947547913
1687730232.8051345,703,0.7628999948501587
1687730254.578905,1055,0.7825999855995178
1687730276.159697,1407,0.7943000197410583
1687730297.9089553,1759,0.8151999711990356
1687730319.935735,2111,0.8032000064849854
1687730341.9590635,2463,0.8213000297546387
1687730363.8699238,2815,0.8156999945640564
1687730385.6648796,3167,0.8339999914169312
1687730407.5328166,3519,0.8346999883651733
1687730429.6559565,3871,0.8482999801635742
1687730451.7660692,4223,0.8499000072479248
1687730473.7247124,4575,0.8460999727249146
1687730495.9284637,4927,0.8503999710083008
1687730518.087811,5279,0.8537999987602234
1687730540.4760969,5631,0.8592000007629395
1687730562.3655446,5983,0.8614000082015991
1687730584.4247315,6335,0.8622000217437744
1687730606.423685,6687,0.8623999953269958
1687730628.369963,7039,0.8636000156402588
