Wall time,Step,Value
1687729782.8780854,351,0.696399986743927
1687729802.988398,703,0.7121999859809875
1687729823.221321,1055,0.7760999798774719
1687729843.549689,1407,0.7940000295639038
1687729863.4034412,1759,0.8047000169754028
1687729882.9987533,2111,0.8055999875068665
1687729903.318808,2463,0.7894999980926514
1687729923.756224,2815,0.8198999762535095
1687729944.2055216,3167,0.8208000063896179
1687729964.2855222,3519,0.8198000192642212
1687729984.367758,3871,0.8307999968528748
1687730004.4130836,4223,0.829200029373169
1687730024.4277558,4575,0.8411999940872192
1687730044.7451787,4927,0.8472999930381775
1687730065.446313,5279,0.8503999710083008
1687730085.8699765,5631,0.8504999876022339
1687730105.731475,5983,0.8535000085830688
1687730125.7944424,6335,0.8560000061988831
1687730146.1411147,6687,0.8525999784469604
1687730166.457209,7039,0.8500999808311462
