Wall time,Step,Value
1687730667.0233264,351,1.284429669380188
1687730704.9758546,703,0.926213264465332
1687730742.9187849,1055,0.759285569190979
1687730781.0845923,1407,0.6935445070266724
1687730819.4466927,1759,0.616470217704773
1687730858.1515274,2111,0.5753816366195679
1687730895.8981056,2463,0.534506618976593
1687730933.240425,2815,0.5109348893165588
1687730970.8736777,3167,0.4799652397632599
1687731008.9094927,3519,0.4699294865131378
1687731046.0160983,3871,0.47056376934051514
1687731083.1055114,4223,0.4392026960849762
1687731120.1788898,4575,0.43673765659332275
1687731157.237291,4927,0.421019971370697
1687731194.2423742,5279,0.42077505588531494
1687731234.4467177,5631,0.40364593267440796
1687731273.2490327,5983,0.40319591760635376
1687731311.8134606,6335,0.40955373644828796
1687731349.2519934,6687,0.4084239602088928
1687731387.398364,7039,0.4106992781162262
