Wall time,Step,Value
1687731501.6175823,351,1.573710322380066
1687731558.7176511,703,1.2409011125564575
1687731616.2816827,1055,1.0656416416168213
1687731672.3375134,1407,0.9062433838844299
1687731727.4186277,1759,0.7915118932723999
1687731783.1093462,2111,0.6927639245986938
1687731838.3932893,2463,0.7444415092468262
1687731893.605053,2815,1.138914704322815
1687731948.4493687,3167,0.735159695148468
1687732003.3036485,3519,0.656984806060791
1687732059.2268722,3871,0.6084035634994507
1687732114.013013,4223,0.5753288865089417
1687732168.845632,4575,0.5668190121650696
1687732224.3277822,4927,0.5433989763259888
1687732279.0201116,5279,0.5219660997390747
1687732334.1083484,5631,0.526744544506073
1687732388.6320176,5983,0.5299105644226074
1687732442.9053962,6335,0.5397300720214844
1687732498.0897024,6687,0.509422779083252
1687732557.0611868,7039,0.5284424424171448
