Wall time,Step,Value
1687730667.0233264,351,0.5346999764442444
1687730704.9758546,703,0.6692000031471252
1687730742.9197855,1055,0.7343999743461609
1687730781.0845923,1407,0.758899986743927
1687730819.4466927,1759,0.7875999808311462
1687730858.1515274,2111,0.8029999732971191
1687730895.8981056,2463,0.816100001335144
1687730933.240425,2815,0.8240000009536743
1687730970.8736777,3167,0.8356999754905701
1687731008.9094927,3519,0.8389000296592712
1687731046.0160983,3871,0.8389999866485596
1687731083.1055114,4223,0.8500999808311462
1687731120.1788898,4575,0.8501999974250793
1687731157.237291,4927,0.8569999933242798
1687731194.2433755,5279,0.8593999743461609
1687731234.4467177,5631,0.8662999868392944
1687731273.2490327,5983,0.8647000193595886
1687731311.8134606,6335,0.8654000163078308
1687731349.2519934,6687,0.8654000163078308
1687731387.3993652,7039,0.8626000285148621
